"","x"
"1111",1122.4
"1112",965.2
"1113",678.2
"1114",4.6
"1115",871.2
"1116",1044.8
"1117",1126.6
"1118",1061.8
"1119",1010.2
"1120",781.6
"1121",4.6
"1122",929.2
"1123",1092.2
"1124",1203
"1125",1396
"1126",1194.2
"1127",1008.8
"1128",0.4
"1129",690.6
"1130",892.4
"1131",1037.2
"1132",1121.4
"1133",963
"1134",447.8
"1135",0.6
"1136",731.8
"1137",1008.6
"1138",1145.8
"1139",1114.4
"1140",984.4
"1141",490
"1142",0.6
"1143",813
"1144",939.6
"1145",1099.6
"1146",1094.6
"1147",914
"1148",496.2
"1149",4.4
"1150",868.8
"1151",1041.6
"1152",1170.4
"1153",1329
"1154",1394.6
"1155",1081
"1156",0.4
"1157",752.4
"1158",880
"1159",1031.2
"1160",1135.8
"1161",1004
"1162",409.6
"1163",0.2
"1164",789.2
"1165",973.6
"1166",1132.8
"1167",1152.8
"1168",968
"1169",459.2
"1170",2.4
"1171",772.8
"1172",986.4
"1173",1075.6
"1174",1125.4
"1175",964
"1176",497.4
"1177",6.6
"1178",6.6
"1179",1065.4
"1180",1083.6
"1181",1254.4
"1182",1254.2
"1183",1025.8
"1184",6
"1185",1205.8
"1186",1340
"1187",1030.6
"1188",0.4
"1189",0.4
"1190",370.6
"1191",0.2
"1192",634.8
"1193",887.2
"1194",1042.2
"1195",1121
"1196",975.4
"1197",468.6
"1198",0.6
"1199",809.6
"1200",1006.2
"1201",1104.6
"1202",1117
"1203",964.4
"1204",458
"1205",2.6
"1206",832.6
"1207",883.4
"1208",1047
"1209",1082.4
"1210",1079.2
"1211",520.2
"1212",6
"1213",1113
"1214",1299
"1215",1432.4
"1216",1562.4
"1217",0.4
"1218",388.4
"1219",0.4
"1220",674.4
"1221",820.2
"1222",1018
"1223",1139.8
"1224",999
"1225",656.4
"1226",0.4
"1227",859
"1228",983
"1229",1136.6
"1230",1167.4
"1231",1015.4
"1232",660.8
"1233",2.6
"1234",2.6
"1235",855.8
"1236",996.8
"1237",1103.2
"1238",946
"1239",660.8
"1240",3.6
"1241",956
"1242",1169.6
"1243",1312
"1244",1571.6
"1245",1184.2
"1246",977
"1247",1.6
"1248",675.4
"1249",791.8
"1250",960.4
"1251",1116.4
"1252",824.8
"1253",646.6
"1254",4.8
"1255",4.8
"1256",1078.6
"1257",1110.8
"1258",1208.8
"1259",1067.6
"1260",535.4
"1261",4.4
"1262",4.4
"1263",949.2
"1264",1042.4
"1265",1121.6
"1266",973.6
"1267",502.4
"1268",0.4
"1269",862.6
"1270",1003
"1271",1234.4
"1272",1373.4
"1273",1259.4
"1274",704
"1275",3.2
"1276",3.2
"1277",1314.2
"1278",956.4
"1279",1012.2
"1280",955
"1281",633.4
"1282",4.8
"1283",742
"1284",963
"1285",1181.2
"1286",1234.2
"1287",1052.6
"1288",720
"1289",4.4
"1290",836
"1291",1009
"1292",1139.2
"1293",1154.6
"1294",950.4
"1295",461.2
"1296",0.8
"1297",0
"1298",892.2
"1299",1079.6
"1300",1208
"1301",1034.4
"1302",536
"1303",3.2
"1304",936
"1305",1286.4
"1306",1393.4
"1307",1742.4
"1308",1481
"1309",222.6
"1310",0.6
"1311",723
"1312",943.4
"1313",1128.2
"1314",1123.6
"1315",6.6
"1316",261.6
"1317",0.2
"1318",907.2
"1319",1042.8
"1320",1113.6
"1321",1160.2
"1322",966.6
"1323",461.4
"1324",1.2
"1325",1.2
"1326",916.8
"1327",1027.6
"1328",1118.4
"1329",943.8
"1330",522.8
"1331",2.2
"1332",884
"1333",1129.6
"1334",1420.4
"1335",1251.2
"1336",951.4
"1337",757.8
"1338",5.8
"1339",1194.6
"1340",884.2
"1341",915.6
"1342",1015
"1343",702
"1344",432.6
"1345",0.2
"1346",817.2
"1347",1075.6
"1348",1137.8
"1349",1154.2
"1350",960.4
"1351",488.8
"1352",1.8
"1353",816
"1354",887.8
"1355",1053.6
"1356",1070.8
"1357",934.2
"1358",427.4
"1359",1.4
"1360",728.6
"1361",881
"1362",1125.4
"1363",1114.2
"1364",989.6
"1365",539
"1366",9.2
"1367",1095.2
"1368",1341.4
"1369",1433.2
"1370",928
"1371",797.2
"1372",585.4
"1373",3.8
"1374",744.6
"1375",846.8
"1376",1003.8
"1377",1015.2
"1378",883.6
"1379",447
"1380",1
"1381",1
"1382",931.8
"1383",982.8
"1384",1063.2
"1385",897
"1386",407.2
"1387",0.6
"1388",703.8
"1389",846.2
"1390",1002.8
"1391",1026.8
"1392",882.4
"1393",438.6
"1394",5
"1395",845
"1396",1087.8
"1397",1408.8
"1398",1318.6
"1399",1283
"1400",775.2
"1401",3.6
"1402",3.6
"1403",702.2
"1404",831
"1405",933.4
"1406",845
"1407",579.4
"1408",1
"1409",773.8
"1410",925.6
"1411",996.5
"1412",1050.8
"1413",971.2
"1414",431
"1415",4
"1416",0.2
"1417",896.4
"1418",923.6
"1419",1117.2
"1420",893.6
"1421",526.4
"1422",6
"1423",902.8
"1424",1036
"1425",1336.8
"1426",1285.4
"1427",1219.8
"1428",694.4
"1429",6.2
"1430",1424.6
"1431",783.4
"1432",832.8
"1433",982
"1434",931.2
"1435",507.8
"1436",0.4
"1437",968.4
"1438",1
"1439",1227.2
"1440",1239.2
"1441",1005.6
"1442",551
"1443",5
"1444",1099.8
"1445",1254
"1446",1153.2
"1447",1388
"1448",1178.4
"1449",777
"1450",1.6
"1451",1119.6
"1452",1397
"1453",1429.2
"1454",1346.2
"1455",1.2
"1456",609.8
"1457",0.6
"1458",1523.2
"1459",1969
"1460",2192.2
"1461",1895.4
"1462",0
"1463",425.2
"1464",3.8
"1465",301.4
"1466",443.6
"1467",554.2
"1468",701.6
"1469",515
"1470",485.6
"1471",3.6
"1472",3.6
"1473",800.4
"1474",897.6
"1475",970.6
"1476",846.2
"1477",553.2
"1478",0.6
"1479",773.2
"1480",839.2
"1481",982.6
"1482",973.6
"1483",914.6
"1484",635
"1485",0.2
"1486",948.8
"1487",912
"1488",1067
"1489",1243.6
"1490",1059.8
"1491",872.2
"1492",0
"1493",429.4
"1494",558.8
"1495",726.4
"1496",778.6
"1497",762.6
"1498",466.8
"1499",3.8
"1500",642.2
"1501",752.4
"1502",898.6
"1503",959.6
"1504",831.6
"1505",408.8
"1506",0.4
"1507",779
"1508",888
"1509",952.8
"1510",1009.4
"1511",858.8
"1512",428.8
"1513",0.4
"1514",774
"1515",869.4
"1516",1010.8
"1517",1163
